"city_id","articles_count","latest_date","genre_count","days_since_update","genres"
"yawata","3","2026-06-08","0","11",""
"kunitachi","3","2026-06-08","0","11",""
"kumiyama","3","2026-06-08","0","11",""
"nishitokyo","3","2026-06-08","0","11",""
"suginami","3","2026-06-08","0","11",""
"soka","3","2026-06-08","0","11",""
"shitara","3","2026-06-08","0","11",""
"sugito","3","2026-06-08","0","11",""
"tokoname","3","2026-06-08","0","11",""
"tokushima_pref","3","2026-06-08","0","11",""
"sumida","3","2026-06-08","0","11",""
"shinshiro","3","2026-06-08","0","11",""
"shiki","3","2026-06-08","0","11",""
"shibuya","3","2026-06-08","0","11",""
"seto","3","2026-06-08","0","11",""
"shimane_pref","3","2026-06-08","0","11",""
"toshima","3","2026-06-08","0","11",""
"shinagawa","3","2026-06-08","0","11",""
"totsukawa","3","2026-06-08","0","11",""
"taga","3","2026-06-08","0","11",""
"tokai_aichi","3","2026-06-08","0","11",""
"tobishima","3","2026-06-08","0","11",""
"tenri","3","2026-06-08","0","11",""
"tochigi_pref","3","2026-06-08","0","11",""
"togo","3","2026-06-08","0","11",""
"toei","3","2026-06-08","0","11",""
"toda","3","2026-06-08","0","11",""
"tenkawa","3","2026-06-08","0","11",""
"tajiri","3","2026-06-08","0","11",""
"taito","3","2026-06-08","0","11",""
"tahara","3","2026-06-08","0","11",""
"tokigawa","3","2026-06-08","0","11",""
"tawaramoto","3","2026-06-08","0","11",""
"taketoyo","3","2026-06-08","0","11",""
"takarazuka","3","2026-06-08","0","11",""
"seika","3","2026-06-08","0","11",""
"oita_pref","3","2026-06-08","0","11",""
"oharu","3","2026-06-08","0","11",""
"oguchi","3","2026-06-08","0","11",""
"okayama","3","2026-06-08","0","11",""
"omihachiman","3","2026-06-08","0","11",""
"ome","3","2026-06-08","0","11",""
"tsushima","3","2026-06-08","0","11",""
"ogose","3","2026-06-08","0","11",""
"uji","3","2026-06-08","0","11",""
"urayasu","3","2026-06-08","0","11",""
"nisshin","3","2026-06-08","0","11",""
"obu","3","2026-06-08","0","11",""
"ogawa_s","3","2026-06-08","0","11",""
"ogano","3","2026-06-08","0","11",""
