"city_id","articles_count","latest_date","genre_count","days_since_update","genres"
"minano","3","2026-06-08","0","11",""
"misato","3","2026-06-08","0","11",""
"yashio","3","2026-06-08","0","11",""
"yasu","3","2026-06-08","0","11",""
"misato_machi","3","2026-06-08","0","11",""
"moroyama","3","2026-06-08","0","11",""
"nakano","3","2026-06-08","0","11",""
"nakai","3","2026-06-08","0","11",""
"nagatoro","3","2026-06-08","0","11",""
"warabi","3","2026-06-08","0","11",""
"wako","3","2026-06-08","0","11",""
"nerima","3","2026-06-08","0","11",""
"namegawa","3","2026-06-08","0","11",""
"yamagata_pref","3","2026-06-08","0","11",""
"nachikatsura","3","2026-06-08","0","11",""
"musashimurayama","3","2026-06-08","0","11",""
"muko","3","2026-06-08","0","11",""
"nagakute","3","2026-06-08","0","11",""
"yamanashi_pref","3","2026-06-08","0","11",""
"nagaokakyo","3","2026-06-08","0","11",""
"nagaoka","3","2026-06-08","0","11",""
"minamichita","3","2026-06-08","0","11",""
"kokubunji","3","2026-06-08","0","11",""
"koganei","3","2026-06-08","0","11",""
"kodaira","3","2026-06-08","0","11",""
"komae","3","2026-06-08","0","11",""
"konan_shiga","3","2026-06-08","0","11",""
"yorii","3","2026-06-08","0","11",""
"yosano","3","2026-06-08","0","11",""
"kochi_pref","3","2026-06-08","0","11",""
"yoshimi","3","2026-06-08","0","11",""
"zama","3","2026-06-08","0","11",""
"owariasahi","3","2026-06-08","0","11",""
"yoshikawa","3","2026-06-08","0","11",""
"kiyosu","3","2026-06-08","0","11",""
"kiyose","3","2026-06-08","0","11",""
"kita_ku","3","2026-06-08","0","11",""
"kora","3","2026-06-08","0","11",""
"yatomi","3","2026-06-08","0","11",""
"manazuru","3","2026-06-08","0","11",""
"machida","3","2026-06-08","0","11",""
"matsubushi","3","2026-06-08","0","11",""
"mihama_aichi","3","2026-06-08","0","11",""
"meguro","3","2026-06-08","0","11",""
"matsuda","3","2026-06-08","0","11",""
"kyotanabe","3","2026-06-08","0","11",""
"koto_ku","3","2026-06-08","0","11",""
"kota","3","2026-06-08","0","11",""
"koryo","3","2026-06-08","0","11",""
"yokoze","3","2026-06-08","0","11",""
